number,timetaken
86300,8561278
86400,8553362
86500,8542912
86600,8570486
86700,8510649
86800,8518184
86900,8609462
87000,8615945
87100,8595746
87200,8606757
87300,8602689
87400,8604262
87500,8650282
87600,8660542
87700,8632036
87800,8706422
87900,8588191
88000,8682254
88100,8702553
88200,8698846
88300,8654871
88400,8743534
88500,8698787
88600,8735898
88700,8782219
88800,8705550
88900,9251714
89000,8733544
89100,8647196
89200,8779865
89300,8794644
89400,8773042
89500,8664480
89600,8816866
89700,8775786
89800,9012348
89900,8764134
90000,8804181
90100,8826706
90200,8813811
90300,8897293
90400,8937912
90500,8815362
90600,8884979
90700,9092663
90800,8883896
90900,8916179
91000,8936258
91100,9119536
91200,8950846
91300,8992708
91400,9069257
91500,9018157
91600,9162579
91700,9018749
91800,8994562
91900,8998329
92000,9256122
92100,9036474
92200,9504296
92300,9099487
92400,9095589
92500,9202077
92600,9119185
92700,9169653
92800,9156848
92900,9342781
93000,9162369
93100,9199822
93200,9215803
93300,9415703
93400,9155917
93500,9233949
93600,9683054
93700,9434780
93800,9313003
93900,9321880
94000,9305017
94100,9534735
94200,9313855
94300,9480871
94400,9350075
94500,9325518
94600,9677624
94700,9498234
94800,9439940
94900,9448828
95000,9582608
95100,9462735
95200,9465992
95300,9596566
95400,9508304
95500,9527842
95600,9534946
95700,9595284
95800,9592989
95900,9561508
96000,9589171
96100,9652465
96200,9693124
96300,9632285
96400,9658046
96500,9697262
96600,9662435
96700,9653426
96800,9689126
96900,9650581
97000,9699587
97100,9755405
97200,9784843
97300,9886561
97400,9722171
97500,9823449
97600,9761708
97700,9789432
97800,9786256
97900,9907883
98000,9919425
98100,9835401
98200,9796566
98300,9813359
98400,9843197
98500,9868877
98600,9911481
98700,10002406
98800,9906349
98900,9914104
99000,9863414
99100,9981344
99200,10003508
99300,9987046
99400,9974091
99500,9992186
99600,9950654
99700,9958300
99800,10057513
99900,10076310
100000,10046692
